Station,Units_Intersected,Population,Median_Income,Pct_No_Vehicle,Pct_Students,Income_Category
Downtown Berkeley,21,17324.837019969957,196457.67652736983,33.19892937137344,0.0,Non-Low-Income Area
North Berkeley,10,23788.350298382345,104439.0387132755,15.735775552038891,0.0,Non-Low-Income Area
Ashby,14,17249.413060686336,103774.9686405313,19.162984714517805,0.0,Non-Low-Income Area
