Station,Units_Intersected,Population,Median_Income,Pct_No_Vehicle,Pct_Students,Income_Category
Downtown Berkeley,11,14139.942945742572,67892.10625801553,25.98928090625388,26.71416653338399,Non-Low-Income Area
North Berkeley,8,19330.33270330229,99361.48070571372,16.50202734952951,9.157036769062628,Non-Low-Income Area
Ashby,9,16198.402160218731,97518.99619620011,15.774047274113357,8.927478662973062,Non-Low-Income Area
